brand;name;link;image;color;consist;description
kensie;Ink Splot Short Sleeve Dress KS8K8403;https://www.6pm.com/p/kensie-ink-splot-short-sleeve-dress-ks8k8403-camel-combo/product/9291394/color/41710;https://m.media-amazon.com/images/I/814eJlobjDL._AC_SX510_.jpg;Camel Combo; 100% polyesterLining: 100% polyester ;Command attention in this kensie® Ink Spot Short Sleeve Dress. 
Tommy Bahama;Estrella Azzurra Short Dress;https://www.6pm.com/p/tommy-bahama-estrella-azzurra-short-dress-blue-vault/product/9302054/color/773433;https://m.media-amazon.com/images/I/81EK7nw+VkL._AC_SX510_.jpg;Blue Vault; 90% cotton, 10% modal;Make a visual impact this season in the Tommy Bahama® Estrella Azzurra Short Dress.
Alternative;Racerback Maxi Dress;https://www.6pm.com/p/alternative-racerback-maxi-dress-eco-pacific-blue/product/7821128/color/514347;https://m.media-amazon.com/images/I/81PIJBWZdgL._AC_SX510_.jpg;Eco Pacific Blue; 50% polyester, 38% cotton, 12% rayon;Soak up the sun in style with this effortlessly chic Alternative® sleeveless maxi dress featuring a signature Eco-jersey that is crafted from a uniquely imperfect blend of cotton, polyester, and rayon. 
Calvin Klein;Sleeveless Dress with Floral Applique;https://www.6pm.com/p/calvin-klein-sleeveless-dress-with-floral-applique-black/product/9378643/color/3;https://m.media-amazon.com/images/I/71umUHcprEL._AC_SX510_.jpg;Black; 95% polyester, 5% spandexLining: 100% polyester ;Look your best in the sleeveless Calvin Klein® dress that features a sheath silhouette, round neckline, and a lined stretch-poly fabrication with floral appliqués at shoulders. 
Tommy Hilfiger;V-Neck Global Dress;https://www.6pm.com/p/tommy-hilfiger-v-neck-global-dress-sky-captain/product/9484266/color/444168;https://m.media-amazon.com/images/I/71EF+9r-9OL._AC_SX510_.jpg;Sky Captain; 77% polyester, 20% viscose, 3% elastane ;Show off in this athletic-inspired poly knit Tommy Hilfiger®  V-Neck Global Dress 
BB Dakota;Make an Entrance Dress;https://www.6pm.com/p/bb-dakota-make-an-entrance-dress-pepper-green/product/9425228/color/86058;https://m.media-amazon.com/images/I/71u613RMHGL._AC_SX510_.jpg;Pepper Green; 100% polyester;Everyone will see you walking into the room wearing the lightweight BB Dakota™ Make an Entrance Dress with a back zipper closure.
U.S. POLO ASSN.;Solid Polo Dress;https://www.6pm.com/p/u-s-polo-assn-solid-polo-dress-limelight/product/9361054/color/35248;https://m.media-amazon.com/images/I/617-rq4Y9IL._AC_SX510_.jpg;Limelight; 95% cotton, 5% spandex ;You hit style right on the mark! This sporty U.S. POLO ASSN.® Solid Polo Dress flaunts a five-button placket and a fold-over collar with striped detail. 
MARINA;Lace Dress with Bell Sleeve;https://www.6pm.com/p/marina-lace-dress-with-bell-sleeve-black/product/9470848/color/3;https://m.media-amazon.com/images/I/71Nbq2wwJPL._AC_SX510_.jpg;Black; 77% nylon, 15% rayon, 8% elastane ;A bateau neckline accentuates the elegance of this MARINA™ Lace Dress with Bell Sleeves.
Tommy Hilfiger;Scuba Crepe Midi Dress;https://www.6pm.com/p/tommy-hilfiger-scuba-crepe-midi-dress-black/product/9465301/color/3;https://m.media-amazon.com/images/I/614F6h7WcGL._AC_SX510_.jpg;Black; 94% polyester, 6% elastane ;The Tommy Hilfiger® Scuba Crepe Midi Dress flaunts a solid colorway in a soft poly-blend fabrication so you can walk into the party with style.
Free People;Heartbeats Mini;https://www.6pm.com/p/free-people-heartbeats-mini-red/product/9343989/color/585;https://m.media-amazon.com/images/I/81bABEAW8lL._AC_SX510_.jpg;Red; 95% viscose, 5% elastane;Fall in love with the Free People™ Heartbeats Mini Dress.
